title,price,meterage,district,link
آپارتمان باکس پونک,"۱۸,۵۰۰,۰۰۰,۰۰۰ تومان",,سردارجنگل,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9/gatVxeDt?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_gatVxeDt_P
واحدهای فروش /130متر نوساز 2 حواب/ کاج,"۶۰,۰۰۰,۰۰۰,۰۰۰ تومان",130,سعادت‌آباد,https://divar.ir/v/%D9%88%D8%A7%D8%AD%D8%AF%D9%87%D8%A7%DB%8C-%D9%81%D8%B1%D9%88%D8%B4-130%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-2-%D8%AD%D9%88%D8%A7%D8%A8-%DA%A9%D8%A7%D8%AC/gaKlWZhD?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_gaKlWZhD_P
۷۰ متر فول نوساز,"۱۴,۵۰۰,۰۰۰,۰۰۰ تومان",۷۰,سلسبیل جنوبی,https://divar.ir/v/%DB%B7%DB%B0-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D9%86%D9%88%D8%B3%D8%A7%D8%B2/gaVsL5tm?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_gaVsL5tm_N
88متر 2 خواب بالای جلال,"۲۵,۹۰۰,۰۰۰,۰۰۰ تومان",88,امیرآباد,https://divar.ir/v/88%D9%85%D8%AA%D8%B1-2-%D8%AE%D9%88%D8%A7%D8%A8-%D8%A8%D8%A7%D9%84%D8%A7%DB%8C-%D8%AC%D9%84%D8%A7%D9%84/ga3pCoQh?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_ga3pCoQh_N
105متر/فول امکانات نوساز/مهمان نوازان/خوش قیمت,"۱۳,۱۰۰,۰۰۰,۰۰۰ تومان",105,امام زاده حسن,https://divar.ir/v/105%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D9%85%D9%87%D9%85%D8%A7%D9%86-%D9%86%D9%88%D8%A7%D8%B2%D8%A7%D9%86-%D8%AE%D9%88%D8%B4-%D9%82%DB%8C%D9%85%D8%AA/ga3pirAm?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_ga3pirAm_N
۵۵متر/تک‌واحدی/آسانسوردار/خوش‌نقشه,"۸,۰۰۰,۰۰۰,۰۰۰ تومان",۵۵,اسکندری,https://divar.ir/v/%DB%B5%DB%B5%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%A2%D8%B3%D8%A7%D9%86%D8%B3%D9%88%D8%B1%D8%AF%D8%A7%D8%B1-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87/ga3FCafk?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_ga3FCafk_N
160متر/تاپ لوکیشن/3خواب مستر/هروی/2پارکینگ,"۷۲,۰۰۰,۰۰۰,۰۰۰ تومان",160,هروی,https://divar.ir/v/160%D9%85%D8%AA%D8%B1-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86-3%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%B3%D8%AA%D8%B1-%D9%87%D8%B1%D9%88%DB%8C-2%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF/ga3pCmk2?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_ga3pCmk2_N
90متر/حاجی صادقی / فول امکانات,"۲۳,۲۵۰,۰۰۰,۰۰۰ تومان",90,هفت حوض,https://divar.ir/v/90%D9%85%D8%AA%D8%B1-%D8%AD%D8%A7%D8%AC%DB%8C-%D8%B5%D8%A7%D8%AF%D9%82%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA/ga3liwmI?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_ga3liwmI_N
سرمایه گذاری مطمئن و پرسود درشهر جدید,"۳,۱۵۰,۰۰۰,۰۰۰ تومان",,یوسف‌آباد,https://divar.ir/v/%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C-%D9%85%D8%B7%D9%85%D8%A6%D9%86-%D9%88-%D9%BE%D8%B1%D8%B3%D9%88%D8%AF-%D8%AF%D8%B1%D8%B4%D9%87%D8%B1-%D8%AC%D8%AF%DB%8C%D8%AF/ga0VEnE6?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_ga0VEnE6_N
۸۰ متر ۲ خواب فول امکانات بازسازی شده سازمان مرکز,"۲۱,۵۰۰,۰۰۰,۰۰۰ تومان",۸۰,سازمان برنامه جنوبی,https://divar.ir/v/%DB%B8%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86-%D9%85%D8%B1%DA%A9%D8%B2/ga3piZHh?tracker_session_id=fa288391-0722-4470-a4b3-6b619e951a84_ga3piZHh_N
