title,price,meterage,district,floor,build_year,rooms,link
68متر *دوخوابه *پارکینگ آسانسور سند تکبرگ,7800000000,68.0,جنت‌آباد جنوبی,2.0,1399.0,2.0,https://divar.ir/v/68%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%A2%D8%B3%D8%A7%D9%86%D8%B3%D9%88%D8%B1-%D8%B3%D9%86%D8%AF-%D8%AA%DA%A9%D8%A8%D8%B1%DA%AF/ga1F-bfZ?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga1F-bfZ_P
آپارتمان ۶۱ متری غرق نور اتوبان آهنگ پارکینگ دار,7800000000,61.0,آهنگ,3.0,1378.0,1.0,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B6%DB%B1-%D9%85%D8%AA%D8%B1%DB%8C-%D8%BA%D8%B1%D9%82-%D9%86%D9%88%D8%B1-%D8%A7%D8%AA%D9%88%D8%A8%D8%A7%D9%86-%D8%A2%D9%87%D9%86%DA%AF-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AF%D8%A7%D8%B1/gakZIkoy?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gakZIkoy_P
۹۱متر/فول امکانات+تراس/ساخت۹۷/رویان,20900000000,91.0,کرمان,4.0,1397.0,2.0,https://divar.ir/v/%DB%B9%DB%B1%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%AA%D8%B1%D8%A7%D8%B3-%D8%B3%D8%A7%D8%AE%D8%AA%DB%B9%DB%B7-%D8%B1%D9%88%DB%8C%D8%A7%D9%86/ga3xiY_v?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3xiY_v_N
۹۸متر/۲خواب/امیرآباد,27200000000,98.0,فاطمی,1.0,1401.0,2.0,https://divar.ir/v/%DB%B9%DB%B8%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%A7%D9%85%DB%8C%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF/gabVz9z9?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gabVz9z9_N
۶۰مترکمیل تک واحدی طبقه اول,5650000000,60.0,سلسبیل جنوبی,1.0,1380.0,1.0,https://divar.ir/v/%DB%B6%DB%B0%D9%85%D8%AA%D8%B1%DA%A9%D9%85%DB%8C%D9%84-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%B7%D8%A8%D9%82%D9%87-%D8%A7%D9%88%D9%84/ga3xSPV4?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3xSPV4_N
قلب شهید عراقی* ۲۴۲متر، نیمه فرنیش/ لابی شیک/ 2p,153000000000,242.0,مهران (سیدخندان),3.0,1404.0,3.0,https://divar.ir/v/%D9%82%D9%84%D8%A8-%D8%B4%D9%87%DB%8C%D8%AF-%D8%B9%D8%B1%D8%A7%D9%82%DB%8C-%DB%B2%DB%B4%DB%B2%D9%85%D8%AA%D8%B1-%D9%86%DB%8C%D9%85%D9%87-%D9%81%D8%B1%D9%86%DB%8C%D8%B4-%D9%84%D8%A7%D8%A8%DB%8C-%D8%B4%DB%8C%DA%A9-2p/ga3tCrgF?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tCrgF_N
۱۰۰متر،سرمایه گزاری،مشاعات آبی فعال,38500000000,100.0,سعادت‌آباد,1.0,1388.0,2.0,https://divar.ir/v/%DB%B1%DB%B0%DB%B0%D9%85%D8%AA%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B2%D8%A7%D8%B1%DB%8C-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A2%D8%A8%DB%8C-%D9%81%D8%B9%D8%A7%D9%84/ga3tSBwd?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tSBwd_N
110متر/شمال حبیب‌الله/سالن پرده خور,30500000000,110.0,دریان‌نو,5.0,1398.0,2.0,https://divar.ir/v/110%D9%85%D8%AA%D8%B1-%D8%B4%D9%85%D8%A7%D9%84-%D8%AD%D8%A8%DB%8C%D8%A8-%D8%A7%D9%84%D9%84%D9%87-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1/ga3xyMP6?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3xyMP6_N
۸۷متر/۲خواب/۸ساله/تاپ لوکیشن/فایل شخصی,25000000000,87.0,جنت‌آباد جنوبی,1.0,1398.0,2.0,https://divar.ir/v/%DB%B8%DB%B7%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%DB%B8%D8%B3%D8%A7%D9%84%D9%87-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86-%D9%81%D8%A7%DB%8C%D9%84-%D8%B4%D8%AE%D8%B5%DB%8C/ga2t96Rt?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga2t96Rt_N
۵۵ متر نوساز منطقه ۱۱ تهران,6875000000,55.0,عباسی,1.0,1404.0,1.0,https://divar.ir/v/%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D9%85%D9%86%D8%B7%D9%82%D9%87-%DB%B1%DB%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86/ga3ti1j3?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3ti1j3_N
